answer, option_b, option_d, option_c
A, "Foster kennedy syndrome", "None", "Vogt-koyanagi-harada syndrome"
C, "Blue dot cataract", "Fusiform cataract", "Zonular cataract"
B, "Zonular cataract", "Punctate cataract ", "Blue dot cataract"
B, "Inferonasal", "Superotemporal", "Superonasal"
A, "Cortical cataract", "Punctate cataract", "Zonular cataract"
A, "After 2 months", "After 1 year", "After 4 months"
D, "Zonular", "Blue dot", "Coralliform"
A, "Lensectomy", "Glasses", "Contact lens"
B, "Spectacles", "None", "Contact lens"
A, "Open angle glaucoma", "Lens induced glaucoma", "Seen in hypermature stage of cataract"
D, "CRVO", "Open angle glaucoma ", "Eale's disease"
A, "Open angle glaucoma", "None", "Pigmentory glaucoma "
C, "Increased absorption but increased secretion", "None", "Outflow obstruction"
D, "Hypermetropia", "Small lens", "Small cornea"
A, "Pilocarpine", "Apraclonidine", "Physostigmine"
B, "Inf pole", "Temporal lobe", "Nasal pole"
B, "Rhodopsin", "None", "Pigmented epithelium "
C, "Recurrent pappilloedema", "None", "Recurrent periphelbitis retinae"
B, "Retinal detachment", "CRAO", "CRVO"
B, "Drusen", "Hemosiderine", "Lipochrome"
B, "Proliferative diabetic retinopathy", "None", "Both"
B, "Toxoplasmoss", "Herpes", "Toxocara"
C, "Cong histoplasmosis", "None", "Congenital syphilis"
B, "CRAO", "Syphilitic retinopathy ", "Diabetic retinopathy"
B, "Vitreous hemorrhage", "Choroidal hemorrhage", "Conjunctival hemorrhage"
D, "Stage I ROM", "Stage III ROM ", "Stage II ROM"
C, "Loss of light reflex", "Ptosis", "Loss of abduction"
C, "Glaucoma", "Keratoconus", "Retrobulbar neuritis"
A, "Amauratic pupil", "None", "Amauratic pupil"
A, "Penicillin", "None", "Propranolol"
A, "Binasal hemianopia", "Bitemporal hemianopia", "Constriction of peripheral field"
B, "Intracranial neoplasma", "Optic neuritis", "CRAO"
C, "LR", "SR", "IR"
C, "MR", "IO", "SO"
D, "Spectacles", "Conventional occlusion", "Surgery"
D, "3", "6", "4"
B, "Prism", "Keratometry", "Retinoscopy"
A, "Infection", "None", "Mysthenia gravis"
B, "Chronic progressive external ophthalmoplegia", "None", "3"
A, "Accommodative squint", "Esophoria", "Exophoria"
B, "Hemangioma", "Meningioma", "Lymphoma"
A, "Nerves", "Lymph node", "Muscle"
B, "Basal cell carcinoma", "Malignant melanoma", "Squamous cell carcinoma"
A, "Basal cell ca", "Lymphoma", "Melanoma"
A, "Sturge weber syndrome", "None", "Von Hippel-Lindau syndrome"
A, "Trichiasis", "Tylosis", "Ectropion"
B, "Madarosis", "Ectropion", "Trichiasis"
B, "Hypothyroidism", "None", "Acromegaly"
B, "Corectopia", "Ectopia lentis", "Corectopia"
B, "Congenital dacryocystitis", "None", "Conjunctivitis"
A, "Thyroid ophthalmopathy", "Retinoblastoma", "Neuroblastoma"
C, "Congenital", "Myotonic dystrophy", "Trauma"
B, "Fracture of roof of orbit", "Fracture of sphenoid", "Fracture of lateral wall"
A, "Papilloedema", "Retinal detachment ", "Optic neuritis"
B, "Ciliary artery", "None", "Choroidal vein"
B, "Inferonasal", "Superonasal", "Inferotemporal"
C, "Soperotemporal", "Soperonasal", "Inferonasal"
C, "Panophthalmitis", "None", "Retinoblastoma"
A, "Silver chloride", "Aluminium chloride", "Titanium chloride"
D, "Conjunctiva with cornea", "Iris with cornea", "Choroid with retina"
B, "Presbycusis", "NOHL", "Ototoxic drug"
A, "Tachycardia", "U-waves", "Decreased QT interval"
A, "Hypokalemia", "Hypocalcemia", "Hypercalcemia"
A, "Right ventricular hypertrophy", "Left atrial enlargement ", "Aortic stenosis"
C, "Pericardial Tamponade", "Right Ventricular Infarct", "Constrictive pericarditis"
C, "Coarctation of aorta", "Wegner's Granulomatosis", "Giant cell arteritis"
C, "Frusemide", "Isoptin", "Propranolol"
C, "ASD", "VSD", "LBBB"
A, "Endothelin 1", "None", "Cortisol"
A, "Measurement of tidal volume", "Total lung capacity", "End expiratory flow rate"
D, "Mild persistent asthma ", "Severe asthma", "Moderate asthma"
A, "Rituximab", "Transtusuzumab", "Daclizumab"
B, "Swyer-James-MacLeod syndrome", "Immotile cilia syndrome", "Mendelson's syndrome"
D, "Pseudomonas aeruginosa", "Klebsiella pneumoniae", "Legionella spp"
B, "ABPA", "Rheumatoid arthritis ", "Bronchiectasis in COPD "
A, "Hyperkalemia", "Hypocalcemia", "Hyperphosphatemia"
B, "Erythropoietin Stimulating Agents", "Androgenic Steroids", "Blood transfusion"
C, "Citrate", "Uric acid stones", "Calcium stones"
D, "Nephritic syndrome", "Repeated gross hematuria", "Microscopic hematuria"
A, "Membranoproliferative Glomerulonephritis", "Membranous Glomerulonephritis", "Mesangioproliferative Glomerulonephritis"
D, "Bisphosphonates", "Phosphate binders", "Calcium restriction"
A, "Pseudomonas", "Proteus", "Staphylococcus epidermidis"
B, "Increased frequency", "Painful micturition", "Hematuria"
B, "7th", "11th", "9th"
A, "Culture", "Biopsy urease test", "Serological test"
A, "Clarithromycin", "Amoxicillin", "Metronidazole"
B, "Secretin injection test", "Steroid assay", "ACTH stimulation test"
C, "Decreased copper excretion in urine", "Autosomal dominant", "Increased copper in liver"
C, "Serum ceruloplasmin level is < 20 mg/dl", "Zinc acetate is effective as maintenance therapy", "Urinary copper excretion is"
D, "Metanephrines", "5HIAA", "Catecholamines"
C, "VIP", "Glucagon", "Gastrin"
B, "Diabetics on insulin", "Patients with chronic liver disease", "Medical/nursing personnel"
A, "Amylase deficiency", "Pancreatic endocrine insufficiency", "Lipase deficiency"
B, "Celiac disease", "Addison's Disease", "Cholera"
C, "Parietal", "Cerebellum", "Temporal occipital"
C, "Parietal", "Occipital", "Temporal"
C, "Agraphia", "Agnosia", "Aphasia"
D, "Posterior inferior cerebellar artery", "b and c", "Vertebral artery"
A, "Diabetes", "Aneurysmal rupture", "Trauma"
D, "Ischemic stroke", "Subarachnoid hemorrhage", "Meningitis"
D, "Pyridoxine excess", "a and b", "Suramin"
B, "> 1°C", "> 2 C ", "< 1.0 C"
D, "> 40 with autonomic dysfunctuion", "Failure of thermoregulation ", "No change in hypothalamic thermostat"
A, "Decreased myosin", "Increased myoneural junction transmission", "Absent troponin C"
C, "Ca liver", "CNS tumors ", "Ca lung"
B, "Athetosis", "Flexion dystonia", "Hemibalismus"
A, "2nd nerve schwannoma", "Bilateral acoustic neuroma ", "Astrocytoma"
A, "WBC count > 1500/mL", "Protein is decreased", "Sugar is reduced"
D, "Temporal lobe involved", "EEG not diagnostic", "MRI is diagnostic"
A, "Increased Osmotic Fragility", "Gall stones", "Splenomegaly"
A, "Hereditary spherocytosis", "Mysthania gravis", "Congenital red cell aplasia "
D, "Sickle cell anemia", "PNH", "Thalassemia "
A, "Vincristine", "Methotrexate", "Cyclophosphamide"
D, "Thrombocytopenia, anemia, neurologic abnormalities,", "Thrombocytopenia, anemia, neurological abnormalities,", "Thrombocytosis, anemia neurologic abnormalities, progressive"
B, "t(8-14) translocation", "Bence-Jones proteins in urine", "Light chain proliferation"
A, "IgM", "IgD", "IgA"
C, "Hydrocortisone", "Fludrocortisones", "Dexamethasone"
D, "Total thyroidectomy", "Propylthiouracil oral", "Carbimazole parenteral"
B, "Occular and cutaneous features", "Normal mental function", "Associated with abnormality in lipid metabolism"
B, "Urinary catecholamines", "MRI Scan", "MIBG scan"
D, "Weight loss", "Episodic hypertension", "Orthostatic hypotension"
B, "Low urinary calcium", "Increased C-AMP", "Increased PTH"
B, "Secretory diarrhea", "Flushing", "Steatorrhea"
B, "Lysosome", "Cell membrane", "Mitochondria"
D, "Sarciodosis", "SLE", "Berylliosis"
B, "Hyperparathyroidism", "Hypoparathyroidism", "Hyperthyroidism"
A, "DMD", "Limb girdle muscle dystrophy", "Tibial muscular dystrophy"
A, "Respiratory acidosis", "Hyperkalemia ", "Metabolic acidosis"
A, "Diabetes mellitus", "Gitelman syndrome ", "Diarrhea"
B, "Sterility", "Psychosis", "Coomb's positive hemolytic anemia"
D, "Anti Sm Antibodies", "Antihistone Antibodies", "Anti-Ro Antibodies"
D, "Increased complement C4 leads to thymoma", "Salivary gland enlargement", "Associated with rheumatoid arthritis"
A, "2", "12", "4"
D, "Erythema gyrens ripens-malignancy", "Erythema chronicum migrans malignancy ", "Necrotic acral erythema-HCV"
B, "Henoch schonlein purpura", "Churg Strauss syndrome", "Microscopic PAN"
D, "Pericardial and lymphedema, associated with discolored nails", "Pleural effusion and lymphedema, associated with discolored", "Peritoneal effusion and lymphedema, associated with"
A, "Quinine", "Artesunate", "Doxycycline"
A, "Lisch nodules", "Hyperelastic joints ", "Intestinal polyp"
A, "Cefotaxime", "Ciprofloxacin", "Cefotriaxone"
C, "Posterior cervical lymphadenopathy", "Pericarditis", "Thrombocytopenia"
B, "Decreased pain", "Decreased light touch", "Decreased temperature"
D, "SLE", "Sarcoidosis", "PAN"
C, "Constriction of cranial arteries", "Meningial inflammation", "Cortical spreading depression"
C, "50%", "100%", "75%"
C, "45°", "75°", "60°"
C, "Obesity", "Use of the oestrogen-progesterone contraceptive pills", "Age less than forty years"
B, "More common in men", "2-35yrs of age", "Affects the legs"
C, "Splinting of limbs", "Cervical spine protection ", "Airway management"
D, "Alcohol", "Chlorhexidine", "Cetrimide"
A, "45gm", "65gm", "55gm"
B, "Local recurrence is common after excision", "They are more common in whites than in blacks", "They often undergo malignant change"
D, "Cardiac tamponade", "Tension Pneumothorax", "Penetrating injuries to anterior chest"
C, "DVT", "Venous ulceration", "Lipodermatosclerosis"
A, "Excision biopsy", "USG", "FNAC"
D, "Tatooing", "Pulsed dye Laser", "Excision with skin grafting"
B, "First degree burn", "Fourth degree burn", "Second degree burn"
A, "Short saphenous vein", "Brachial vein", "Femoral vein"
C, "02", "N20 Goniometer is used", "CO2"
A, "Enterocutaneous fistula", "Peritonitis", "Scroma"
A, "WBC < 100/m1", "Ascitis fluid pH > 735", "Ascitis lactate level < 25 mg/dl"
D, "Steatorrhoea", "Fluid loss", "Fe. deficiency"
B, "APRCombined surgery and radiotherapy", "All", "Chemotherapy alone"
D, "Mucosal resection", "Rectopexy", "Placation/wiring"
B, "Sinus & fistula", "Stud ulcer", "Mesenteric lymphadenitis"
B, "Intestinal obstruction", "Sigmoid volvulus", "Gastric outlet obstruction"
C, "Diarrhea, dehydration and malnutrition", "Chronic TPN dependence ", "Hirsutism"
D, "Diffuse esophageal spasm", "Malignancy", "To assess the peristaltic integrity prior to the surgery for GERD"
B, "Colon", "Small intestine ", "Gallbladder"
B, "Through lateral border of rectus abdominis", "Through lateral wall of inguinal canal ", "Through medial wall of iinguinal canal"
A, "ileoileal", "Caeco-colic", "Colo-colic"
A, "NEC", "Hirschsprung's disease ", "Duodenal atresia"
B, "Predisposes to SCC", "Intestinal type is the most common type", "Precancerous condition"
B, "Opening the stomach", "Resecting the proximal part of stomach", "Resecting the terminal part of stomach"
A, "Intussuption", "CA colon ", "Rectal atresia"
C, "Meckel’s diverticulum ", "Umbilical granuloma", "Umbilical adenoma "
B, "latissimus dorsi", "Trapezius", "Serratus anterior"
A, "T4a", "T3b", "T3a"
C, "Responds well to taxanes", "Seen only in breast cancer", "Responds well to monoclonal antibodies"
A, "USG/ mammography", "Clinical examination ", "FNAC/ trucut biopsy"
C, "Immediate ureterolithotomy", "Urinary alkalization", "Endoscopic ureteral stenting"
A, "Jejunum", "Colon", "Caecum"
A, "Hyperkalemia", "Hyponatremia", "Metabolic alkalosis"
A, "Fascia of camper", "None", "Fascia transversalis"
C, "Meatal stenosis", "Hypospadias", "Balanoposthitis"
B, "Hypospadias", "Exostrophy of bladder", "Paraphimosis"
A, "Lateral surface involved", "Tobacco is the cause", "Deep cervical lymph nodes not involved"
C, "Root of teeth", "Pulp", "Gingiva"
A, "Choledochal cyst", "Primary biliary cirrhosis", "Hepatocellular carcinoma"
C, "Gray Turner sign", "Cullen's sign", "Boa's sign"
C, "OCP use", "Cold on isotope scan ", "Older females"
B, "Type II", "Type IV", "Type III"
A, "SPECT", "Neck ultrasound", "MRI"
B, "Portal vein involvement", "Invasion of superior mesentric vein", "Stage III CA head of pancrease"
A, "Tropical pancreatitis", "Gall stone disease ", "Pancreas divisium"
A, "Streptococcus Pneumonia", "Streptococcus Viridans", "Klebsiella"
B, "Beta blockade after alpha blocker", "Beta blocker", "Alpha blocker"
B, "Verner Morrison", "Cushing's syndrome", "Carcinoid syndrome"
A, "20 ml/kg", "40 ml/kg", "30 ml/kg"
C, "2000 ml bolus", "250 ml bolus", "1000 ml bolus then regulated by clinical indicators"
A, "Morgagni hernia", "None of the above", "Paraesophagel hernia"
B, "SDH", "Diffuse axonal injury ", "Contusion"
B, "Lymphoma", "Infections", "Left-sided heart failure"
B, "Right lower lobe apical", "Right medial", "Left basal"
C, "Rt middle lobe", "Lt lower lobe ", "Rt lower lobe"
A, "Descending aorta", "Arch of aorta", "Abdominal aorta"
A, "Direct", "Incisional", "Spigelian"
B, "Patients usually presents before the age of 6 months", "Reccurent infections is the most common cause of death", "There is a positive correlation between HBS and polymerization"
C, "GnRH from hypothalamus of baby", "All of above", "Placental HCG"
A, "Klinfilter syndrome", "None of above", "Turner syndrome"
D, "Adrenocortical tumor", "Cytogenetic abnormalities", "Chromosomal abnormalities"
A, "Decrease myelination of CNS neuron", "Decreae production of neurotransmitters", "Decrease growth hormone by pitutary glands"
A, "50 ml/Kg in 6 hour", "80 ml/Kg in 6 hour", "75 ml/Kg in 6 hour"
B, "30 ml/kg in 30 min, 70 ml/kg in 2'/2 hours", "75 ml/kg in 4 hours", "20 ml/kg in 30 min, 80 ml/kg in 2'/2"
C, "Cri-du-chat syndrome", "Angel's syndrome", "Fragile-x-syndrome"
B, "45 X0 genome", "All of above", "47 XXX"
B, "t (11: 14)", "t (15: 21)", "Trisomy 21"
C, "Trisomy 13", "Noonan syndrome ", "Atopic dermatitis"
B, "VSD", "All", "Conduction defect"
C, "Consolidation", "CNS tuberculosis ", "Hilar adenopathy"
D, "ECG changes", "Hypergonadism", "Hypertelorism"
D, "Ventilation", "All of above", "Plasmapharesis"
C, "0.3 - 0.5 ml/kg in 1:1000", "0.3 - 0.5 ml/kg in 1:10,000", "0.1-0.3 ml/kg in 1:10,000"
C, "Thumb sucking", "None of above", "Foreign object being put in the mouth"
C, "10", "25", "12.5"
A, "30 : 2", "1 : 5", "1 : 3"
D, "Thrombocytopenia", "All of above", "Cutaneous lesion"
A, "Medulloblastoma", "DNET", "Ependymoma"
C, "Fetal Hb is increased", "Lymphadenopathy", "Philadelphia chromosome is positive"
B, "Hemangioma", "Lipoma", "Cystic hygroma"
B, "Neuroblastoma", "Cortical tuberculoma", "Meningioma"
A, "Glucose 6-phosphatase", "None of above", "Trypsin"
C, "15 months", "24 months", "18 months"
C, "3 years", "5 years", "4 years"
B, "6 months", "10 months", "8 months"
B, "1.3", "1.6", "1.4"
C, "Second premolar", "Second molar", "First molar"
D, "Congenital hypothyroidism", "All of above", "Rickets"
A, "Imipramin", "Motivational therapy", "Desmopressin"
A, "Punishment", "Desmopressin", "Bed alarm"
C, "Breast enlargement in pregnancy", "Post hormonal therapy breast enlargement in postmenopausal", "Hormone related breast enlargement in girls"
A, "10 year", "11 year", "9 year"
D, "10 mg / 10 - 14 day", "20 mg / 10 - 14 day", "15 mg/ 10- 14 day"
A, "Wilson disease", "None of above", "Acrodermatitis enteropathica"
A, "10 gm/kg/day", "20 gm/kg/day", "15 gm/kg/day"
D, "Greater risk of hypothermia", "All of above", "Greater risk of hypoglycemia"
D, "Decreased glycogen stores", "All of above", "Decreased action of pyruvate carboxylase"
B, "22-26° C", "30-35°C", "26-30° C"
B, "<10 gm criteria (Hb level)", "Microcytic hypo chromic type", "10 ml/kg packed cell"
A, "Moderate BPD", "No BPD", "Severe BPD"
B, "125 mg/dl", "100 mg/dl", "180 mg/dl"
B, "5-10 ml/min", "15-20 ml/min", "10-15 ml/min"
D, "Maternal obesity", "A & B", "Hypothyroidism"
C, "Pedal edema", "Basal crepts", "Tender hepatomegaly"
D, "Eisenmenger syndrome", "All of above", "CHF"
A, "Stroke", "Pulmonary hypertension", "Arrhythemia"
B, "Staphylococcus", "Enterococcus", "Streptococcus"
A, "PO2 of fetal blood leaving the placenta is slightly greater than", "The foramen ovale closes during the third trimester unless the", "The presence of fetal hemoglobin shifts the oxyhemoglobin"
A, "Digeorge syndrome", "None of above", "Sphrintzen velo cardio facial syndrome"
C, "Susthalamic, CT & frontal lobe lesion", "Flexion of arm & extension of lower limb", "More dangerous than decerebrate lesion"
A, "Rectal diazepam", "Blood reports", "CSF finding"
A, "Focal deficits", "Abnormal EEG", "Repeated seizure"
B, "Jejunal polyp", "Stricture", "Hypothyroidism"
B, "Hypertrophic pyloric stenosis", "Duodenal atresia", "Tracheoesophageal fistula"
A, "Breast milk jaundice", "Gilbert syndrome", "Crigler najjar"
D, "RBC hemolysis", "All of above", "Immature liver enzyme"
A, "Urinary tract", "Skull anomaly", "Craniofacial anomaly"
A, "Per/Rectal examination", "X-ray abdomen", "Rectal manometry"
B, "Asymptomatic abdominal mass", "Headache", "Abdominal pain"
C, "Hydronephrosis", "Recurrent UTI", "Painful stress incontinence"
D, "Associated with Intrarenal reflux", "Males are more affected than female", "Associated with renal scarring"
A, "Homogentisic acid", "Phenylpyruvate", "Phenyl acetate"
B, "Retinoblastoma", "All", "Rhabdomyosarcoma"
A, "Liver", "None", "Lung"
D, "Two part", "Four part", "Three part"
B, "Anterior", "Superior", "Inferior"
A, "Infraspinatus", "Teres minor", "Subscapularis"
B, "Extension type most common", "None", "Flexion type is most common"
B, "Cubitus varus", "Extension deformity", "Cubitus valgus"
A, "Posterolateral", "Lateral", "Posteromedial"
A, "Coronoid process anterior to humerus", "None", "Coronoid process below humerus"
C, "Radial head", "None", "Olecranon"
B, "Nonunion", "Median nerve injury ", "VIC"
C, "Disarticulation of elbow", "None of the above", "Subluxation of proximal radio ulnar joint"
C, "Galeazzi fracture dislocation", "Smith's fracture", "Bennett's fracture dislocation"
C, "Avascular necrosis", "Rupture of EPL tendon ", "Finger stiffness"
B, "AVN", "Arthritis", "Nonunion"
B, "Complete fracture with undisplaced neck", "Moderate displacement of neck, vascularity damaged ", "Complete fracture with ischemic head"
A, "Bipolar hemiarthroplasty", "None", "THR"
D, "Posterior tibial artery", "All", "Dorsal pedis artery"
A, "Calcaneofibular ligament", "Spring ligament", "Posterior talofibular ligament"
C, "Astrocytoma", "Ependymoma", "Aortic aneurysm"
B, "Maintain airway", "None", "Immobilization of spine "
A, "Hamburger method", "Milwaukee method", "Haldane method"
B, "Spondylolisthesis", "Scoliosis", "Kyphosis"
D, "L4 radiculopathy", "SI radiculopathy", "L5 radiculopathy"
D, "Extension of shoulder with arm abducted to 90 degrees is", "Patient cannot initiate abduction", "Small area of numbness is present over the shoulder region"
B, "Lateral condyle # humerus", "Fracture shaft radius", "Humerus shaft fracture"
B, "Ulnar nerve", "Axillary nerve", "Median nerve"
A, "Tinel sign", "Pain & paraesthesia of wrist", "Phalens sign"
B, "Congenital coxa vara", "SCFE", "Perthe's disease"
C, "MRI", "CT Scan", "USG"
B, "Shallow acetabulum ", "Everted limbus", "Excessive retroversion "
A, "Tibiotalar, calcaneocuboid and talonavicular", "None of the above", "Ankle joint, calcaneocuboid and talonavicular"
C, "Lunate", "Calacaneal tuberosity", "Femoral head"
D, "Sickle cell anemia", "Paget's disease", "Perthe's disease"
A, "CT scan", "USG", "X-ray"
A, "Perthes disease", "Osteoarthritis", "Hip dislocation"
D, "Trochlea", "Capitulum", "Radial head"
A, "Staphylococcus aureus", "Gonococcus", "Klebsiella"
B, "Joint aspiration", "MRI", "USG"
B, "A piece of dead bone surrounded by infected tissue", "None", "A piece of bone with poor vascularity"
B, "Involucrum", "Myositis", "Normal bone"
A, "Bony ankylosis", "None", "Normal healing"
B, "Always heals by chemotherapy", "There is disc space narrowing on x-ray", "Back pain is an early symptom"
A, "Stage II", "None", "Stage III"
C, "Cevical", "Lumbosacral", "Dorsolumbar"
A, "Chest TB", "Foot TB", "Hand TB"
A, "Chondrosarcoma", "None", "Enchondroma"
C, "Always beingn", "Seen in age less than 15 years", "Epiphyseal origin"
B, "Haemangioma", "Metastasis", "Chordoma"
C, "Humerus", "Spine", "Fibula"
D, "Syphilis", "All", "Tumor"
B, "Brachial", "Interosseus", "Ulnar"
C, "Below elbow cast", "Above knee cast ", "Hip Spica"
C, "Joint", "None", "Soft tissue"
A, "Subungual hematoma", "None", "Infective arthritis"
B, "Terminal pulp space infection", "Infection of the radial bursa", "Infection of the ulnar bursa"
B, "Olecranon", "Fracture spine", "Fracture tibia"
C, "Ulna", "Humerus", "Tibia"
A, "Radial nerve palsy", "Axillary nerve palsy", "Median nerve palsy"
A, "ARDS", "Compartment syndrome ", "Non union"
B, "Glucosamine", "All", "Sulfasalizine"
B, "RA", "None", "Gout "
C, "Osteoarthritis", "None ", "Psoriatic arthritis"
C, "Complete fracture", "Fracture spine ", "Incomplete fracture"
D, "Hyperparathyroidism", "All", "Reiter's syndrome"
B, "Packed cells", "Exchange transfusion", "Whole blood"
A, "Hyperproteinemia", "All of the above", "Placental hypoplasia"
A, "Till 2-3 days after birth", "2-3 months after birth", "2-3 weeks after birth"
A, "2-3 days", "2-3 months", "2-3 weeks"
D, "Tubal movements are least here", "Plicae are most numerous here", "Salpingitis produces least crypts here"
A, "UPT", "Culdocentesis", "USG"
A, "Antihypertensive drugs", "Diet", "Rest"
B, "Renal pelvis", "Ureter at infundibulopelvic ligament", "Urinary bladder"
C, "Sterilization", "Genital prolapsed ", "Non descent of uterus "
B, "Hyaline", "Cystic", "Red"
D, "Danazole", "Hysterectomy", "LH"
C, "Antibiotics", "Drainage", "Marsupialisation"
D, "2b", "3b", "3a"
B, "2", "4", "3"
D, "Ultrasound", "Laproscopy", "MRI"
A, "Doxorubicin", "Methotrexate", "Ifosfamide"
A:C, "Size of the tubes is unchanged", "Primary focus of infection is always in fallopian tubes", "Is asymptomatic"
D, "Increase incidence of ectopic pregnancy", "Most common is ascending infection", "Involvement of endosalpinx"
A, "Ca 125 level", "MRI ", "Ultrasound"
A, "FT", "LSCS Scar ", "Colon"
B, "Progesterone challenge test is positive", "May be secondary to TB", "Synechiae formation in uterus"
D, "Kallman syndrome", "Asherman's syndrome", "Sheehan's syndrome"
C, "48 hrs", "96 hrs", "72 hrs"
A, "OCP forgotten", "All of the above", "Of choice in young"
B, "Most common cause of jaundice in pregnancy", "Manifestations usually appear in last trimester", "Oestrogen is involved"
A, "IUDs", "DMPA", "Condom"
B, "0.4%", "0.8%", "0.6%"
C, "Pomeroy's technique", "Fimbriectomy", "Clip method"
A, "40m1", "60m1", "50m1"
D, "17-22 weeks", "27-36 weeks", "22-26 weeks"
D, "Oblique", "Obstetric conjugate", "Diagonal conjugate"
A, "Ant post diameter of inlet", "Oblique diameter of pelvis", "Transverse diameter of outlet"
A, "Induces labour", "Keeps patency of PDA", "Therapeutic abortion"
A, "Flushes", "Nausea", "Increased motility of bowel"
A, "Cardiac disease", "Lung disease", "Renal disease"
D, "Following hysterectomy", "All of the above", "Gonadal dysgenesis"
B, "Acute infection", "None of the above", "Chronic infection"
A, "Primaquine", "Pentamidine", "Dapsone"
A, "CMV", "Rubella", "VZV"
B, "Acyclovir + immunoglobulin", "Vaccination", "Only immunoglobulin"
C, "Induction of abortion", "All of the above", "To stop excess bleeding from uterus"
A, "Quinine", "Artesunate", "Primaquin"
D, "14 weeks", "18 weeks", "16weeks"
D, "Burns and Marshall method", "Half hand method", "Malar flexion and shoulder traction"
C, "Laproscopy", "Ultrasound", "Fractional curettage"
C, "Cu IUD", "Gyne fix", "Mirena"
C, "Cu IUD", "Hysterectomy", "OCPs"
A, "Clomiphene", "NSAIDS", "GnRH"
B, "Cocaine", "Fluoxetine", "Amphetamine"
A, "Central placenta praevia", "Fetal distress ", "Failed induction"
B, "Contracted pelvis", "Vertex", "Occipito posterior"
C, "4 weeks", "8 weeks", "6 weeks"
C, "Cephalhematoma", "None", "Both"
C, "Uretero vaginal fistula", "Urethra vaginal fistula ", "Vesico uterine fistula"
A, "Painful vaginal bleeding", "Increased maternal age is a risk factor", "Usg is the investigation of choice"
A, "Placenta praevia", "Oligohydramnios", "Polyhydramnios"
A, "Anterior colporrhaphy", "Manchester operation", "Posterior colporrhaphy"
C, "Hyperprolactemia", "Drugs", "Gonadal dysgenesis"
A, "Low estrogen", "High androgen", "High FSH"
A, "Estrogen", "None of the above", "GH"
B, "To maintain acidic pH", "None", "Nutrition"
C, "Difficult in obese", "Present in 2/3rd of cases", "Can be done at 14 weeks"
A, "10-14 weeks", "18-22 weeks ", "14-18 weeks"
A, "Dusky hue of ant vaginal wall", "Increased pulsations felt through lateral fornix", "Bluish discolouration of ant vaginal wall"
A, "1 hours", "3 hours", "2 hours"
A, "Menopause", "Perimenopause", "Late menopause"
A, "PCOD", "Hypothalamic failure", "Pituitary failure"
A, "Invasive method", "Negative test is associated with good fetal outcome", "Detects fetal well being"
D, "Acceleration", "Oxytocin", "Time period"
A, "21 days", "6 weeks", "4weeks"
A, "4.5", ">5", "5"
A, "6", "5", "4.5"
A, "Estrogen", "FSH", "LH"
A, "Day 4", "Day 6", "Day 5"
B, "Serum progesterone ", "None", "Both"
C, "30-32 wks", "34-36 wks", "32-34 wks"
D, "20 wks", "30 wks", "25 wks"
A, "Cardiac output is reduced", "Increase in CVP", "Systemic vascular resistance is increased"
B, "Ovulatory", "Pre follicular ", "Post ovulatory"
C, "Breech", "Vertex", "Shoulder"
A, "FSH", "Oxytocin", "Estrogen"
B, "36 weeks", "40 weeks", "38 weeks"
C, "Both breech", "First vertex and 2nd transverse", "Both transverse"
A, "Face", "Brow", "Vertex"
C, "B", "D", "C"
A, "Apocrine sweat glands", "Ectopic sebaceous glands", "Sebaceous glands"
D, "Pedunculated", "Premalignant", "Most common site is neck and axilla"
A, "Can be caused by trauma", "May be associated with liver disease", "Light therapy for treatment"
D, "amelanotic skin associated with a white forelock", "Usually improves with age", "Islands of normal or hypermelanotic skin"
C, "Hertoghe’s sign", "Hyperlinearity of palms", "Darier’s Sign"
D, "Nevus of Ito", "Becker nevus", "Nevus of ota"
D, "Lichen planus", "All the above", "Warts"
D, "DM", "Lichen planus ", "Hypothyroidism"
C, "Oral erosions", "Tzanck smear showing acantholytic cells", "Subepidermal bulla"
B, "Acantholysis", "Spongiosis", "Keratinolysis"
A, "Fibrobalst", "Lymphocyte", "Neutrophil"
C, "Lepromin test highly positive", "ENL in > 50% cases", "Thickened nerve roots"
D, "Itchy", "Subdermal", "Superficial"
A, "lichen planus", "Psoriasis", "SLE"
A, "Gottron's patch", "Periungual telengiectasias", "Mechanic finger"
A, "Deficiency of NADPH oxidase", "Deficiency of properdin", "Deficiency of MPO"
D, "Niacin", "Essential fatty acid", "Vitamin A"
D, "60-90 mg/kg", "120-150 mg/kg", "90-120 mg/kg"
A, "HPV", "HCV", "HIV"
A, "Holmer wells", "None", "Morton"
B, "Guedel", "None", "Thompson"
C, "Magill circuit", "Water's circuit", "Ayres t piece"
C, "Type B", "Type D", "Type E"
B, "Measurement of CO2", "Auscultation over chest", "Direct visualization of passing tube beneath vocal cords"
D, "Micrognathia with macroglossia", "Increased thyromental distance", "TMJ ankylosis"
A, "60 : 40", "25 : 75", "40 : 60"
D, "-88°C", "-36.5°C", "-26°C"
A, "Vecuronium", "Rocuronium", "Pancuronium"
A, "Potency of muscle relaxants", "None", "Potency of general anaesthetics"
A, "N20", "Chloroform", "Halothane"
D, "Ether", "N2O", "Halothane"
D, "2", "6", "4"
C, "Xenon", "None", "Helium"
C, "It increases arterial blood pressure", "It inhibits polysynaptic reflexes in the spinal cord", "It is a potent bronchoconstrictor"
